Initial Fi,Density,CJ Speed,Final Pressure,Final Temperature
0.1,2.31511683032213,1374.9951960860842,1167.6645737972472,1910.7621145848937
0.2,2.4229271688100886,1692.7787500446727,1817.421461051176,2764.549971384925
0.3,2.452068635331521,1850.789833175934,2183.5717320518784,3140.8147762248855
0.4,2.467431185462769,1961.5801284699307,2458.441490036551,3351.893661957411
0.5,2.4669136089327384,2051.850130078215,2680.3704856611403,3491.0541341345897
0.6,2.4675186464462215,2129.9630210166006,2881.913089039526,3592.27893286768
0.7,2.467439121591026,2199.490775130964,3066.9302734155717,3668.857040634182
0.7999999999999999,2.467299408398128,2262.2716937560836,3239.065866168853,3727.635130874517
0.8999999999999999,2.463922113671607,2319.350179163414,3394.7531070137798,3771.751281605553
0.9999999999999999,2.46088545514671,2371.33996553868,3539.7194909501945,3803.6604973712297
1.1,2.4582920414572285,2418.568083993342,3674.2610882396607,3824.308789885457
1.2,2.455551432478955,2461.177019960642,3797.058293858234,3833.8985970809144
1.3,2.452115354110633,2499.1598815321076,3906.385543165803,3832.2230210065136
1.4000000000000001,2.448302210734291,2532.4026646159,4001.7780916448364,3818.9890883091703
1.5,2.4437138834578978,2560.7281784409133,4081.354525266549,3793.749703841037
1.6,2.438438967365869,2583.948131072273,4144.169999768479,3756.289554543188
1.7,2.432231696768573,2601.923047033374,4188.892314785606,3706.6638886253045
1.8,2.425368343266721,2614.612804210812,4215.64932844284,3645.456514845054
1.9,2.4169615338961936,2622.100017058621,4222.750775558815,3573.4426002786195
2.0,2.4089624216397905,2624.5618388966222,4214.708492595399,3492.229935521372
