Initial Temperature,Density,CJ Speed,Final Pressure,Final Temperature
290.0,2.2734249279646064,2281.0195858471006,2993.3463317502333,2033.563305845769
319.4736842105263,2.0612577648592043,2286.7011434071005,2735.444519214037,2049.4744396642964
348.9473684210526,1.8850888618833974,2292.858135283507,2522.3659119681574,2066.3023991678274
378.42105263157896,1.7364488060152645,2299.4904924358216,2343.547360680226,2084.02466237932
407.89473684210526,1.6093691438994466,2306.5940023836197,2191.559748590858,2102.632120976959
437.36842105263156,1.4994908389518193,2314.1580596932026,2060.967451118678,2122.1069965761126
466.8421052631579,1.403558071101042,2322.166143786781,1947.7028859692641,2142.423374468031
496.3157894736842,1.3190843038953333,2330.5960371056085,1848.6495047765168,2163.5443109944135
525.7894736842105,1.2442539946564337,2339.4209940888195,1761.59024686606,2185.4822093009448
555.2631578947369,1.177446893270643,2348.6100448018406,1684.4298516939489,2208.1406715213675
584.7368421052631,1.1174535328882802,2358.128878855853,1615.6421619292105,2231.4634427388132
614.2105263157895,1.0632963716027708,2367.9406438404676,1553.9906069264023,2255.3888728606175
643.6842105263158,1.0141769504464113,2378.006746725079,1498.4630860583964,2279.8511198373512
673.1578947368421,0.9693464702636738,2388.287737785171,1448.050853352463,2304.7215089721285
702.6315789473684,0.9284314050114627,2398.743973852821,1402.3904653887785,2330.04273631588
732.1052631578948,0.8908796892964849,2409.3365573289607,1360.722925940374,2355.68504327299
761.578947368421,0.8562934605078445,2420.028121657916,1322.5376004672569,2381.5713777259016
791.0526315789473,0.8243457303914623,2430.783363617332,1287.4240090596684,2407.636236004364
820.5263157894736,0.7946764303542608,2441.570012067665,1254.8726509343617,2433.753121541386
850.0,0.7675292331007093,2452.357087618133,1225.5616728119976,2460.2642322125894
